ts	phase	decision	why	evidence	result
2026-09-25T19:57:02Z	frame	scoped review to core, bridge, desktop, android on main at adb52a8; about 4k lines of non-test JS	size the work before fanning out	wc -l over package sources	4 packages, 5 review seams
2026-09-25T19:58:22Z	design	fanned out 5 reviewers by seam: core-logic, core-secperf, bridge-desktop, android, desktop-ux	seams do not share files; each gets its own scratch dir and PW_RUN so live runs do not collide	/private/tmp/claude-501/-Users-patrick-code-pear-wallpaper/fb557ea0-fc1e-445d-9da0-e42572bfdb8a/scratchpad/review/BRIEF.md	running
2026-09-25T19:58:22Z	design	evidence images will go on an orphan review-evidence branch and be linked from issues	gh cannot attach images to issues; a branch in the public repo gives stable raw URLs	n/a	planned
2026-09-25T19:58:22Z	design	every finding must be VERIFIED by running code or marked PLAUSIBLE with the reason; coordinator re-checks before filing	issues are public and should not cry wolf	/private/tmp/claude-501/-Users-patrick-code-pear-wallpaper/fb557ea0-fc1e-445d-9da0-e42572bfdb8a/scratchpad/review/BRIEF.md	planned
2026-09-25T20:08:16Z	audit	reran android-01 stale-apply repro myself: setter order newer then older, assertion fails	the one high finding from android had to be re-observed, not taken from the report	core/test/sandbox/android/stale-apply.test.js	VERIFIED
2026-09-25T20:09:16Z	audit	merge bridge-desktop-01 into android-01 as one core issue	two reviewers independently found the same newest-then-older apply loop; root cause is core _newestUnappliedForMe	core/index.js:436	dedup
2026-09-25T20:09:16Z	audit	read bridge-desktop-03 and -04 evidence; confirmed throwaway launchd label was removed	security and launchd findings touch the OS, needed to confirm no residue on the machine	launchctl print gui/501/com.pw-review-selfbootout -> not found	accepted
2026-09-25T20:10:14Z	audit	reran the core-secperf repro tests myself; all reproduce	three high security claims, re-observed before filing	kept local	VERIFIED 01 02 03 04 05
2026-09-25T20:10:14Z	triage	security issues get class, impact, file:line and fix direction but no exploit script in the public issue	repo is public; the attacker pool is small but a copy-paste exploit adds nothing for the maintainer	gh repo view -> PUBLIC	decided
2026-09-25T20:12:18Z	audit	reran all core-logic sandbox tests; stale-apply, stale-gate, dropped-update2, join-close, restart-events assertions fail as the findings claim	confirm each core-logic claim on the real engine	core/test/sandbox/core-logic/	VERIFIED 01-05
2026-09-25T20:12:18Z	audit	core-logic-01 is the third independent report of the stale-apply bug; file once in core	same root cause at core/index.js:436	android-01, bridge-desktop-01, core-logic-01	dedup
2026-09-25T20:30:30Z	triage	dropped desktop-ux-13 (no stylesheet) as its own issue	backlog already has the styling pass; its functional parts (invisible online dot, no selected tab) are in the online-status and keyboard issues	docs/notes/backlog.md UX polish	folded
2026-09-25T20:30:30Z	triage	merged 42 findings into 34 issues: stale-apply x3, filename leak x3, last-synced x2, join-on-quit x3	one issue per root cause, with each independent report kept as a section	triage.json	34 issues
2026-09-25T20:30:30Z	triage	corrected an overstated impact line in one security finding	the draft overstated who can trigger it	kept local	edited
2026-09-25T20:30:30Z	tooling	fixed pw: shot hung on occluded windows; wallpaper original is now saved once outside run dirs	desktop-ux reviewer hit the hang, and chained runs saved a test image as the original	.claude/skills/verify/bin/pw	smoke run ok
2026-09-25T20:30:30Z	tooling	built file-issues.mjs to render bodies from findings, stage evidence, file and cross-link issues	34 issues by hand would drift; the script is rerunnable and idempotent via filed.json	file-issues.mjs	built
2026-09-25T20:34:15Z	file	filed 25 non-security issues (#1-#25) with labels, screenshots and cross-links	user asked for issues; these carry no exploitable detail	filed.json; gh issue view 13 shows embedded images and Related line	25 filed
2026-09-25T20:34:15Z	file	held 9 security issues	repo is public, and the permission classifier blocked a follow-up gh call citing sensitive detail; public issue vs private advisory is the owner's call	triage.json security:true	open, awaiting user
2026-09-25T20:42:05Z	file	filed the 9 security findings as draft private GitHub security advisories	user chose private advisories over public issues	filed.json GHSA ids	9 drafts
2026-09-25T20:42:05Z	file	published a redacted copy of this trail on review-evidence and squashed that orphan branch to one commit	the public trail named the security findings that are now private	review-evidence branch	redacted
